"resp10";"resp50";"resp100";"resp1000";"resp10_low90";"resp50_low90";"resp100_low90";"resp1000_low90";"resp10_up90";"resp50_up90";"resp100_up90";"resp1000_up90";"resp10_ber";"resp50_ber";"resp100_ber";"resp1000_ber"
0,999999988079073;0,8599609375;0,7900390625;0,7490234375;0,999943196718294;0,779236279414084;0,723047394552619;0,726471100956412;1,00005677943985;0,940685595585916;0,857030730447381;0,771575774043589;0;0;1;1
0,8;0,72001953125;0,8;0,73701171875;0,591940644849777;0,615576790137993;0,734205854921941;0,714111867998722;1,00805935515022;0,824462272362008;0,865794145078059;0,759911569501278;1;1;1;1
0,9;0,8;0,72998046875;0,76396484375;0,743955483637333;0,706953027705866;0,656953972093848;0,74187705243322;1,05604451636267;0,893046972294134;0,803006965406152;0,78605263506678;1;1;1;1
0,8;0,8;0,7;0,75;0,591940644849777;0,706953027705866;0,624623337473722;0,727476914118113;1,00805935515022;0,893046972294134;0,775376662526278;0,772523085881888;1;1;1;1
0,8;0,8400390625;0,72001953125;0,7580078125;0,591940644849777;0,754768531822152;0,646167360763989;0,735730398777616;1,00805935515022;0,925309593177849;0,793871701736012;0,780285226222384;1;0;1;1
0,999999988079073;0,62001953125;0,72998046875;0,73798828125;0,999943196718294;0,507111307057264;0,656953972093848;0,715115849118762;1,00005677943985;0,732927755442736;0,803006965406152;0,760860713381239;0;0;1;1
0,6;0,6599609375;0,82998046875;0,7400390625;0,345180371834723;0,549764951523753;0,768191549315617;0,717224684851249;0,854819628165277;0,770156923476246;0,891769388184383;0,762853440148752;1;1;0;1
0,7;0,7400390625;0,7599609375;0,7599609375;0,461638063995101;0,638010063926079;0,689708102806297;0,73774504052846;0,938361936004899;0,842068061073922;0,830213772193704;0,78217683447154;1;1;1;1
0,4;0,7400390625;0,75;0,7580078125;0,145180371834723;0,638010063926079;0,678775748677653;0,735730398777616;0,654819628165277;0,842068061073922;0,821224251322348;0,780285226222384;0;1;1;1
0,9;0,7;0,67998046875;0,752978515625;0,743955483637333;0,593401301568918;0,603250730191115;0,730545590190756;1,05604451636267;0,806598698431082;0,756710207308885;0,775411441059245;1;1;1;1
0,8;0,6599609375;0,7400390625;0,726953125;0,591940644849777;0,549764951523753;0,667893665730708;0,703779228342778;1,00805935515022;0,770156923476246;0,812184459269293;0,750127021657222;1;1;1;1
0,999999988079073;0,8;0,8099609375;0,73203125;0,999943196718294;0,706953027705866;0,745428104125238;0,708993813952809;1,00005677943985;0,893046972294134;0,874493770874762;0,755068686047191;0;1;1;1
0,8;0,7400390625;0,8;0,76201171875;0,591940644849777;0,638010063926079;0,734205854921941;0,739861099694055;1,00805935515022;0,842068061073922;0,865794145078059;0,784162337805945;1;1;1;1
0,6;0,92001953125;0,6599609375;0,716015625;0,345180371834723;0,856919038483772;0,582040608556658;0,692560609224036;0,854819628165277;0,983120024016229;0,737881266443342;0,739470640775964;1;0;0;0
0,8;0,8;0,7599609375;0,75390625;0,591940644849777;0,706953027705866;0,689708102806297;0,731501700244041;1,00805935515022;0,893046972294134;0,830213772193704;0,776310799755959;1;1;1;1
0,8;0,72001953125;0,72001953125;0,7580078125;0,591940644849777;0,615576790137993;0,646167360763989;0,735730398777616;1,00805935515022;0,824462272362008;0,793871701736012;0,780285226222384;1;1;1;1
0,8;0,7;0,65;0,74296875;0,591940644849777;0,593401301568918;0,571545482232907;0,720238432890421;1,00805935515022;0,806598698431082;0,728454517767093;0,76569906710958;1;1;0;1
0,9;0,8;0,75;0,7580078125;0,743955483637333;0,706953027705866;0,678775748677653;0,735730398777616;1,05604451636267;0,893046972294134;0,821224251322348;0,780285226222384;1;1;1;1
0,8;0,72001953125;0,72998046875;0,75498046875;0,591940644849777;0,615576790137993;0,656953972093848;0,732608950045664;1,00805935515022;0,824462272362008;0,803006965406152;0,777351987454336;1;1;1;1
0,7;0,6400390625;0,75;0,76298828125;0,461638063995101;0,528385346411934;0,678775748677653;0,740868995431626;0,938361936004899;0,751692778588066;0,821224251322348;0,785107567068374;1;1;1;1
0,9;0,7400390625;0,8099609375;0,7330078125;0,743955483637333;0,638010063926079;0,745428104125238;0,709997059254828;1,05604451636267;0,842068061073922;0,874493770874762;0,756018565745172;1;1;1;1
0,999999988079073;0,7400390625;0,7900390625;0,77998046875;0,999943196718294;0,638010063926079;0,723047394552619;0,758432827404084;1,00005677943985;0,842068061073922;0,857030730447381;0,801528110095916;0;1;1;0
0,8;0,8599609375;0,7900390625;0,7599609375;0,591940644849777;0,779236279414084;0,723047394552619;0,73774504052846;1,00805935515022;0,940685595585916;0,857030730447381;0,78217683447154;1;0;1;1
